Service_ID,Service_Name,Target_Business_Type,Price_Category,Language_Support,Location_Area,Description,Match_Quality
1001,Payroll Processing,E-Commerce,High,Both,Delhi,"Monthly employee salary calculation, disbursement, and compliance reporting.",High
1002,Financial Audit,Restaurant,High,Both,Remote,Independent annual financial statement verification and compliance check.,Low
1003,Business Registration,Restaurant,Low,Hindi,Remote,Complete guidance and filing for establishing a new business entity.,Low
1004,Advanced Tax Filing,Restaurant,Medium,Regional,Remote,Comprehensive annual tax submission and financial planning.,Medium
1005,SEO Optimization,Tech Startup,High,Regional,Delhi,Advanced search engine ranking strategy and implementation for product visibility.,Medium
1006,Social Media Setup,Retail,Medium,Both,Mumbai,Creation and optimization of initial social media profiles (Instagram/Facebook).,Medium
1007,Financial Audit,E-Commerce,High,Regional,Delhi,Independent annual financial statement verification and compliance check.,Medium
1008,SEO Optimization,Tech Startup,Medium,Regional,Delhi,Advanced search engine ranking strategy and implementation for product visibility.,Low
1009,Contract Review,Retail,Premium,Hindi,Remote,Legal review and drafting of standard client/vendor contracts and agreements.,High
1010,Basic Accounting,Freelancer,Premium,English,Bengaluru,Simple monthly bookkeeping and tax preparation for freelancer.,High
1011,Financial Audit,Clinic,High,Hindi,Remote,Independent annual financial statement verification and compliance check.,Low
1012,SEO Optimization,Retail,Low,Both,Remote,Advanced search engine ranking strategy and implementation for product visibility.,High
1013,Financial Audit,Retail,Low,English,Remote,Independent annual financial statement verification and compliance check.,High
1014,Social Media Setup,Clinic,Medium,Hindi,Chennai,Creation and optimization of initial social media profiles (Instagram/Facebook).,Medium
1015,Financial Audit,E-Commerce,Premium,Hindi,Remote,Independent annual financial statement verification and compliance check.,Medium
1016,Digital Marketing Strategy,Tech Startup,Medium,Regional,Remote,Development of a 6-month online marketing and advertisement plan.,Medium
1017,Customer Support Setup,Clinic,High,Hindi,Mumbai,Implementation of a modern ticketing and customer relationship management system (CRM).,High
1018,Customer Support Setup,Tech Startup,Low,Regional,Mumbai,Implementation of a modern ticketing and customer relationship management system (CRM).,High
1019,Social Media Setup,Clinic,High,Both,Remote,Creation and optimization of initial social media profiles (Instagram/Facebook).,High
1020,Business Registration,Tech Startup,Premium,Hindi,Remote,Complete guidance and filing for establishing a new business entity.,Low
1021,SEO Optimization,Tech Startup,High,Both,Remote,Advanced search engine ranking strategy and implementation for product visibility.,High
1022,Advanced Tax Filing,Retail,High,Both,Delhi,Comprehensive annual tax submission and financial planning.,Medium
1023,Website Design (Basic),Freelancer,Low,Regional,Remote,Single-page website design with core functionality and contact form.,Medium
1024,Customer Support Setup,Retail,Low,Regional,Delhi,Implementation of a modern ticketing and customer relationship management system (CRM).,Medium
